AcquirerName,TargetName,TransactionAnnouncementDate,PercentageOfSharesAcquired,AcquirerRegion,TargetRegion,PricePerShare,CurrencyCodeOfTransaction,DealPurpose,FormOfTransactionName,TransactionStatus,InitialPricePerShare,PremiumAsOn1DayPriorToAnnouncementDate,PremiumAsOn1WeekPriorToAnnouncementDate,PremiumAsOn4WeeksPriorToAnnouncementDate,AcquirerPublicStatus,TargetPublicStatus,AcquirerMidIndustry,TargetMidIndustry,AnalystEstimatedValue,RatioOfTransactionValueToNetIncome,RatioOfTransactionValueToCashFlow,RatioOfTransactionValueToSales,RatioOfRankvalueToNetIncome,RatioOfRankvalueToCashFlow,RatioOfRankvalueToSales,TransactionValueIncludingNetDebtOfTarget,TransactionEffectiveDate
['MYM Nutraceuticals Inc (Pre-Reincorporation)'],['Vert Infrastructure Ltd'],2019-11-07,0,Americas,Americas,0.017,C,,Merger,Withdrawn,0.017,1969-12-31 23:59:59.999999992,1969-12-31 23:59:59.999999992,1969-12-31 23:59:59.999999946,Public,Public,Pharmaceuticals,Non Residential,,-0.776,0.0,,-1.948,,,7.58,2019-11-07
['Yello O2O Group Inc'],['BFLabs Co Ltd'],2019-11-13,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.543,WON,"['Strengthen operations', 'Allow to offer new products and services']",Acquisition Of Partial Interest,Withdrawn,0.543,1969-12-31 23:59:59.999999984,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000009,Subsidiary,Public,Internet Software & Services,IT Consulting & Services,,-53.339,70.392,0.609,-132.264,174.551,1.509,7.55,2019-11-13
['XTO Energy Inc'],['Hugoton Royalty Trust'],2020-04-03,0,Americas,Americas,0.2,US,,Merger,Withdrawn,0.2,1970-01-01 00:00:00.000000029,1970-01-01 00:00:00.000000085,1970-01-01 00:00:00.000000031,Subsidiary,Public,Oil & Gas,Other Financials,,,0.0,31.25,,,29.469,7.544,2020-04-03
['Canadian Modern Media Holdings Inc'],['Torstar Corp'],2020-07-21,0,Americas,Americas,0.591,C,,Merger,Withdrawn,0.591,1970-01-01 00:00:00.000000066,1970-01-01 00:00:00.000000150,1970-01-01 00:00:00.000000105,Private,Public,Other Financials,Publishing,42.858198478,-0.961,2.581,0.143,-0.15,0.403,0.022,7.511,2020-07-21
['BGS NO.2 Investment Fund'],['Hyulim A-Tech Co Ltd'],2019-07-09,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.89,WON,,Acquisition Of Partial Interest,Withdrawn,0.89,1969-12-31 23:59:59.999999980,1970-01-01 00:00:00.000000000,1969-12-31 23:59:59.999999998,Private,Public,Other Financials,Textiles & Apparel,,-17.267,19.935,1.207,-14.635,16.896,1.023,8.48,2019-07-09
['Cubix Holdings Co Ltd'],['Hyulim A-Tech Co Ltd'],2019-07-09,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.89,WON,,Acquisition Of Partial Interest,Withdrawn,0.89,1969-12-31 23:59:59.999999980,1970-01-01 00:00:00.000000000,1969-12-31 23:59:59.999999998,Private,Public,Other Financials,Textiles & Apparel,,-17.267,19.935,1.207,-14.635,16.896,1.023,8.48,2019-07-09
['BGS No.3 Fund'],['Hyulim A-Tech Co Ltd'],2019-07-09,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.89,WON,,Acquisition Of Partial Interest,Withdrawn,0.89,1969-12-31 23:59:59.999999980,1970-01-01 00:00:00.000000000,1969-12-31 23:59:59.999999998,Private,Public,Other Financials,Textiles & Apparel,,-17.267,19.935,1.207,-14.635,16.896,1.023,8.48,2019-07-09
['Balhae Consortium Co Ltd'],['Hyulim A-Tech Co Ltd'],2019-07-09,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.89,WON,,Acquisition Of Partial Interest,Withdrawn,0.89,1969-12-31 23:59:59.999999980,1970-01-01 00:00:00.000000000,1969-12-31 23:59:59.999999998,Private,Public,Other Financials,Textiles & Apparel,,-17.267,19.935,1.207,-14.635,16.896,1.023,8.48,2019-07-09
['KCLAVIS New Technology Fund No 11'],['Hyulim A-Tech Co Ltd'],2019-07-09,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.89,WON,,Acquisition Of Partial Interest,Withdrawn,0.89,1969-12-31 23:59:59.999999980,1970-01-01 00:00:00.000000000,1969-12-31 23:59:59.999999998,Private,Public,Other Financials,Textiles & Apparel,,-17.267,19.935,1.207,-14.635,16.896,1.023,8.48,2019-07-09
['Mirae Ohsung Co Ltd'],['ToBeSoft Co Ltd'],2019-07-08,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,2.325,WON,,Acquisition Of Partial Interest,Withdrawn,2.933,1969-12-31 23:59:59.999999970,1969-12-31 23:59:59.999999979,1969-12-31 23:59:59.999999971,Private,Public,Asset Management,IT Consulting & Services,,-3.048,0.0,1.363,-3.794,-20.438,1.696,8.5,2019-07-08
['Gamehost Inc'],['Gamehost Inc'],2021-07-19,0,Americas,Americas,6.423,C,['Other'],Buyback,Withdrawn,6.423,1970-01-01 00:00:00.000000000,1969-12-31 23:59:59.999999993,1969-12-31 23:59:59.999999999,Public,Public,Hotels and Lodging,Hotels and Lodging,,53.291,19.033,8.145,66.263,23.665,10.128,7.395,2021-07-19
['Investor Group'],['Y&Next Inc'],2020-12-15,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,4.215,WON,,Acquisition Of Partial Interest,Withdrawn,4.967,1969-12-31 23:59:59.999999981,1970-01-01 00:00:00.000000005,1970-01-01 00:00:00.000000012,Private,Public,Other Financials,Electronics,,-1.148,9.362,0.363,-1.398,11.398,0.442,7.137,2020-12-15
['Ent Nature Farm Co Ltd'],['IREM Co Ltd'],2021-07-24,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.434,WON,,Acquisition Of Partial Interest,Withdrawn,0.434,,,,Private,Public,Other Financials,Metals & Mining,,-2.836,0.0,0.649,-5.553,-12.084,1.271,6.977,2021-07-24
['Jiuyu International Investment Co Ltd'],['Eagle Cold Storage Enterprise Co Ltd'],2020-08-20,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.647,TW,"['Strengthen operations', 'Increase shareholder value']",Acquisition Of Partial Interest,Withdrawn,0.647,1970-01-01 00:00:00.000000024,1970-01-01 00:00:00.000000022,1970-01-01 00:00:00.000000022,Private,Public,Other Financials,Other Industrials,,25.003,11.451,1.013,38.441,17.606,1.558,6.952,2020-08-20
['Investor Group'],['Good People Co Ltd'],2020-06-11,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.434,WON,['Raise cash through disposal'],Acquisition Of Partial Interest,Withdrawn,1.785,1969-12-31 23:59:59.999999973,1969-12-31 23:59:59.999999967,1969-12-31 23:59:59.999999972,Private,Public,Other Financials,Textiles & Apparel,,-2.952,0.0,0.494,-3.665,-16.739,0.614,6.939,2020-06-11
['Luplex No.1 Combination'],['Charmzone Global Co Ltd'],2019-09-17,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,2.049,WON,['Raise cash through disposal'],Acquisition Of Partial Interest,Withdrawn,2.049,1969-12-31 23:59:59.999999982,1969-12-31 23:59:59.999999991,1970-01-01 00:00:00.000000028,Private,Public,Other Financials,Machinery,,-2.68,0.0,7.56,-3.154,-5.763,8.896,6.76,2019-09-17
['Investor Group'],['Hunan Sundy Science and Technology Co Ltd'],2020-03-02,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,1.021,CY,['Strengthen existing operations/expand presence in primary market'],Acquisition Of Partial Interest,Withdrawn,1.021,1969-12-31 23:59:59.999999984,1969-12-31 23:59:59.999999975,1969-12-31 23:59:59.999999985,Private,Public,Other Financials,Healthcare Equipment & Supplies,,33.357,27.55,5.272,27.601,22.796,4.362,6.723,2020-03-02
['Zhang Xiaomu'],['New City Development Group Ltd'],2020-04-14,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.009,HK,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,0.009,1969-12-31 23:59:59.999999983,1969-12-31 23:59:59.999999988,1969-12-31 23:59:59.999999985,Investor,Public,Other Financials,Other Real Estate,,-84.483,123.44,6.514,-176.643,258.097,13.62,6.708,2020-04-14
['Spirox Corp'],['Wintest Corp'],2020-02-04,0,Asia Pacific Excluding Central Asia,Japan,2.024,Y,"['Create synergies, eliminate duplicate services/operations', 'Strengthen operations', 'Increase shareholder value']",Acquisition Of Partial Interest,Withdrawn,2.024,1970-01-01 00:00:00.000000008,1969-12-31 23:59:59.999999992,1969-12-31 23:59:59.999999991,Public,Public,Semiconductors,Other Industrials,,-9.202,0.0,19.005,-7.224,,14.92,6.689,2020-02-04
['Energy Luck Ltd'],['Smart City Development Holdings Ltd'],2019-02-21,0,Americas,Asia Pacific Excluding Central Asia,0.028,HK,,Merger,Withdrawn,0.028,1970-01-01 00:00:00.000000012,1970-01-01 00:00:00.000000034,1970-01-01 00:00:00.000000029,Private,Public,Other Financials,Building/Construction & Engineering,,-11.155,0.0,0.341,-8.447,-8.793,0.258,11.106,2019-02-21
['MindCryption Inc'],['Setopia Co Ltd'],2018-09-20,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,7.152,WON,,Acquisition Of Partial Interest,Withdrawn,7.152,1970-01-01 00:00:00.000000025,1970-01-01 00:00:00.000000011,1970-01-01 00:00:00.000000008,Private,Public,Internet Software & Services,Software,,-17.736,0.0,8.571,-19.447,-67.29,9.397,17.046,2018-09-20
['WH Networks Co Ltd'],['Hyunjin Materials Co Ltd'],2019-08-27,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.609,WON,,Acquisition Of Partial Interest,Withdrawn,2.33,1969-12-31 23:59:59.999999928,1969-12-31 23:59:59.999999928,1969-12-31 23:59:59.999999931,Private,Public,Internet Software & Services,Metals & Mining,,-0.587,0.0,0.38,-2.05,-4.198,1.325,6.562,2019-08-27
['LDK Partners Co Ltd'],['SD System Co Ltd'],2019-05-27,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,2.681,WON,,Acquisition Of Partial Interest,Withdrawn,2.681,1969-12-31 23:59:59.999999983,1970-01-01 00:00:00.000000010,1970-01-01 00:00:00.000000036,Private,Public,Other Financials,Machinery,,-7.336,0.0,0.923,-8.102,-13.838,1.02,8.44,2019-05-27
['WL Co Ltd'],['SD System Co Ltd'],2019-05-27,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,2.739,WON,,Acquisition Of Partial Interest,Withdrawn,2.739,1969-12-31 23:59:59.999999985,1970-01-01 00:00:00.000000013,1970-01-01 00:00:00.000000039,Private,Public,Other Financials,Machinery,,-7.45,0.0,0.937,-8.216,-14.033,1.034,8.44,2019-05-27
['Karen Partners Co Ltd'],['SD System Co Ltd'],2019-05-27,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,2.437,WON,,Acquisition Of Partial Interest,Withdrawn,2.739,1969-12-31 23:59:59.999999975,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000024,Private,Public,Other Financials,Machinery,,-3.898,0.0,0.949,-3.758,-4.393,0.915,8.44,2019-05-27
['Skin N Natural Co Ltd'],['Skin N Skin Co Ltd'],2020-05-07,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.243,WON,['Raise cash through disposal'],Acquisition Of Partial Interest,Withdrawn,0.243,1969-12-31 23:59:59.999999994,1969-12-31 23:59:59.999999996,1969-12-31 23:59:59.999999992,Private,Public,Other Consumer Products,Chemicals,,-8.076,0.0,2.779,-4.447,-6.037,1.53,6.512,2020-05-07
['Lau Ting'],['China Ecotourism Group Ltd'],2020-10-09,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.019,HK,['Proceeds used to pay down existing outstanding debt'],Acquisition Of Partial Interest,Withdrawn,0.019,1969-12-31 23:59:59.999999991,1969-12-31 23:59:59.999999987,1969-12-31 23:59:59.999999981,Investor,Public,Other Financials,Computers & Peripherals,,-0.362,0.0,1.78,-1.049,-7.322,5.16,6.452,2020-10-09
['Harbour Energy Ltd'],['Santos Ltd'],2017-11-16,0,Americas,Asia Pacific Excluding Central Asia,5.21,AU,['Strengthen operations'],Merger,Withdrawn,3.418,1970-01-01 00:00:00.000000054,1970-01-01 00:00:00.000000045,1970-01-01 00:00:00.000000063,Joint Venture,Public,Oil & Gas,Oil & Gas,8262.1,-31.308,7.741,3.628,-38.842,9.604,4.5,13463.15,2017-11-16
['Investor Group'],['Kinergy Corporation Ltd'],2020-12-15,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.058,SG,"['Raise cash through disposal', 'Allow to offer new products and services']",Acquisition Of Partial Interest,Withdrawn,0.058,1969-12-31 23:59:59.999999962,1969-12-31 23:59:59.999999962,1969-12-31 23:59:59.999999957,Private,Public,Other Financials,Electronics,,86.744,37.114,1.038,54.06,23.13,0.647,6.428,2020-12-15
['Freesia Macross Corp'],['Nippo Ltd'],2021-01-27,0,Japan,Japan,8.977,Y,"['Strengthen operations', 'Other']",Acquisition Of Partial Interest,Withdrawn,8.977,1970-01-01 00:00:00.000000074,1970-01-01 00:00:00.000000075,1970-01-01 00:00:00.000000072,Public,Public,Machinery,Electronics,,-10.048,4.309,0.213,-11.351,4.867,0.24,6.417,2021-01-27
['Investor Group'],['DSNL Co Ltd'],2019-10-10,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.585,WON,['Raise cash through disposal'],Acquisition Of Partial Interest,Withdrawn,0.61,1969-12-31 23:59:59.999999998,1970-01-01 00:00:00.000000000,1970-01-01 00:00:00.000000038,Private,Public,Other Financials,Telecommunications Equipment,,-2.349,0.0,1.226,-3.974,-6.015,2.074,6.367,2019-10-10
['Crozaloc'],['Videlio Holding'],2019-04-09,0,Europe,Europe,2.027,EUR,,Acquisition Of Majority Interest,Withdrawn,2.027,1970-01-01 00:00:00.000000009,1970-01-01 00:00:00.000000007,1970-01-01 00:00:00.000000004,Subsidiary,Public,Other Financials,Electronics,,8.778,3.527,0.186,6.276,2.522,0.133,9.344,2019-04-09
['Energy Solutions Co Ltd'],['Smart Solutions Co Ltd'],2021-06-01,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,5.578,WON,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,5.578,1969-12-31 23:59:59.999999967,1969-12-31 23:59:59.999999994,1970-01-01 00:00:00.000000000,Private,Public,Publishing,Electronics,,-4.049,0.0,2.71,-4.369,-8.925,2.924,6.289,2021-06-01
['Energy Solutions Co Ltd'],['Smart Solutions Co Ltd'],2021-05-31,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,5.576,WON,,Acquisition Of Partial Interest,Withdrawn,5.568,1969-12-31 23:59:59.999999988,1969-12-31 23:59:59.999999998,1969-12-31 23:59:59.999999999,Private,Public,Publishing,Electronics,,-4.214,0.0,2.82,-4.534,-9.261,3.034,6.287,2021-05-31
['Energy Solutions Co Ltd'],['Smart Solutions Co Ltd'],2021-05-31,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,5.576,WON,,Acquisition Of Partial Interest,Withdrawn,5.568,1969-12-31 23:59:59.999999988,1969-12-31 23:59:59.999999998,1969-12-31 23:59:59.999999999,Private,Public,Publishing,Electronics,,-4.214,0.0,2.82,-4.534,-9.261,3.034,6.287,2021-05-31
['Energy Solutions Co Ltd'],['Smart Solutions Co Ltd'],2021-05-31,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,5.576,WON,,Acquisition Of Partial Interest,Withdrawn,5.568,1969-12-31 23:59:59.999999988,1969-12-31 23:59:59.999999998,1969-12-31 23:59:59.999999999,Private,Public,Publishing,Electronics,,-4.214,0.0,2.82,-4.534,-9.261,3.034,6.287,2021-05-31
['Hammerson PLC'],['Intu Properties PLC'],2017-12-06,0,Europe,Europe,3.413,STG,"['Create synergies, eliminate duplicate services/operations', 'Strengthen existing operations/expand presence in primary market', 'Increase shareholder value', 'Expand presence in new geographical regions']",Merger,Withdrawn,3.413,1970-01-01 00:00:00.000000027,1970-01-01 00:00:00.000000030,1970-01-01 00:00:00.000000018,Public,Public,REITs,REITs,,13.962,8.903,5.616,33.402,21.3,13.435,11063.005,2017-12-06
['Year Luck Ltd'],['North Mining Shares Co Ltd'],2021-07-26,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.002,HK,['Proceeds used to pay down existing outstanding debt'],Acquisition Of Partial Interest,Withdrawn,0.002,1970-01-01 00:00:00.000000023,1970-01-01 00:00:00.000000023,1970-01-01 00:00:00.000000023,Private,Public,Other Financials,Metals & Mining,,-0.115,0.0,0.358,-0.603,-27.059,1.88,6.178,2021-07-26
['Pisces No2 Investment Fund'],['J Way Co Ltd'],2020-04-07,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,3.268,WON,['Raise cash through disposal'],Acquisition Of Partial Interest,Withdrawn,0.776,,,,Private,Public,Other Financials,Motion Pictures / Audio Visual,,-1.288,0.0,1.959,-1.606,-4.746,2.442,6.167,2020-04-07
['Energy Solutions Co Ltd'],['Smart Solutions Co Ltd'],2021-09-02,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,20.684,WON,,Acquisition Of Partial Interest,Withdrawn,20.684,1969-12-31 23:59:59.999999991,1969-12-31 23:59:59.999999977,1969-12-31 23:59:59.999999961,Private,Public,Publishing,Electronics,,-16.009,0.0,8.468,-15.869,-50.977,8.394,6.058,2021-09-02
['Energy Solutions Co Ltd'],['Smart Solutions Co Ltd'],2021-09-02,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,20.684,WON,['Strengthen operations'],Acquisition Of Partial Interest,Withdrawn,20.684,1969-12-31 23:59:59.999999991,1969-12-31 23:59:59.999999977,1969-12-31 23:59:59.999999961,Private,Public,Publishing,Electronics,,-16.009,0.0,8.468,-15.869,-50.977,8.394,6.058,2021-09-02
['Investor Group'],['IWin Co Ltd'],2019-04-10,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,2.479,WON,,Acquisition Of Partial Interest,Withdrawn,2.479,1969-12-31 23:59:59.999999986,1969-12-31 23:59:59.999999990,1969-12-31 23:59:59.999999991,Private,Public,Other Financials,Automobiles & Auto Parts,,-23.259,694.671,0.384,-44.426,1326.9,0.733,8.77,2019-04-10
['Mercantile Investment Company Pty Ltd'],['Yellow Brick Road Holdings Ltd'],2018-08-20,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.066,AU,,Merger,Withdrawn,0.066,1969-12-31 23:59:59.999999997,1969-12-31 23:59:59.999999998,1969-12-31 23:59:59.999999995,Public,Public,Other Financials,Brokerage,,-38.586,1.837,0.111,-38.586,1.837,0.111,16.875,2018-08-20
['Metallica Minerals Ltd'],['Ranchero Gold Corp'],2018-09-12,0,Asia Pacific Excluding Central Asia,Americas,0.442,C,,Merger,Withdrawn,0.442,1969-12-31 23:59:59.999999969,1969-12-31 23:59:59.999999969,1969-12-31 23:59:59.999999965,Public,Public,Metals & Mining,Metals & Mining,,-2.819,0.0,,-3.416,-5.655,,15.505,2018-09-12
['Zhu Guiping'],['Wai Chun Bio Technology Ltd'],2020-11-27,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.012,HK,,Acquisition Of Partial Interest,Withdrawn,0.012,1969-12-31 23:59:59.999999995,1969-12-31 23:59:59.999999995,1969-12-31 23:59:59.999999995,Investor,Public,Other Financials,Chemicals,,9.931,6.35,0.362,14.77,9.444,0.539,5.694,2020-11-27
['Investor Group'],['Mediacap Sp z o o'],2021-07-05,0,Europe,Europe,0.834,PZ,,Acquisition Of Remaining Interest,Withdrawn,0.693,1970-01-01 00:00:00.000000021,1970-01-01 00:00:00.000000016,1970-01-01 00:00:00.000000030,Private,Public,Other Financials,Advertising & Marketing,,9.221,4.789,0.445,9.623,4.997,0.464,5.594,2021-07-05
['I Holdings Co Ltd'],['Jenax Inc'],2020-12-04,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,2.289,WON,,Acquisition Of Partial Interest,Withdrawn,2.289,1969-12-31 23:59:59.999999979,1969-12-31 23:59:59.999999979,1969-12-31 23:59:59.999999979,Private,Public,Other Financials,Metals & Mining,,-5.297,0.0,29.994,-5.81,-21.329,32.898,5.586,2020-12-04
['ITDiigm Co Ltd'],['Hyulim A-Tech Co Ltd'],2019-07-09,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.89,WON,,Acquisition Of Partial Interest,Withdrawn,0.89,1969-12-31 23:59:59.999999980,1970-01-01 00:00:00.000000000,1969-12-31 23:59:59.999999998,Private,Public,Computers & Peripherals,Textiles & Apparel,,-16.607,19.174,1.161,-13.975,16.135,0.977,6.36,2019-07-09
['JDR Asset Co Ltd'],['Hyulim A-Tech Co Ltd'],2019-07-09,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.89,WON,,Acquisition Of Partial Interest,Withdrawn,0.89,1969-12-31 23:59:59.999999980,1970-01-01 00:00:00.000000000,1969-12-31 23:59:59.999999998,Private,Public,Other Financials,Textiles & Apparel,,-16.607,19.174,1.161,-13.975,16.135,0.977,6.36,2019-07-09
['Scodev Investment Fund'],['SD System Co Ltd'],2020-12-16,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.611,WON,,Acquisition Of Partial Interest,Withdrawn,0.611,1969-12-31 23:59:59.999999991,1969-12-31 23:59:59.999999991,1969-12-31 23:59:59.999999991,Private,Public,Other Financials,Machinery,,-3.909,6.921,0.392,-3.8,6.728,0.381,5.507,2020-12-16
['Airbest Co Ltd'],['Maxrotec Co Ltd'],2021-02-10,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.879,WON,,Acquisition Of Partial Interest,Withdrawn,0.879,1969-12-31 23:59:59.999999993,1969-12-31 23:59:59.999999986,1969-12-31 23:59:59.999999968,Private,Public,Transportation & Infrastructure,Machinery,,-1.601,0.0,2.051,-2.675,-5.548,3.428,5.4,2021-02-10
['Investor Group'],['Setopia Co Ltd'],2021-04-21,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.41,WON,,Acquisition Of Partial Interest,Withdrawn,0.41,1969-12-31 23:59:59.999999991,1969-12-31 23:59:59.999999992,1969-12-31 23:59:59.999999988,Private,Public,Other Financials,Software,,-8.941,0.0,2.58,-9.107,-12.781,2.628,5.37,2021-04-21
['Investor Group'],['Setopia Co Ltd'],2021-04-21,0,Asia Pacific Excluding Central Asia,Asia Pacific Excluding Central Asia,0.41,WON,,Acquisition Of Partial Interest,Withdrawn,0.41,1969-12-31 23:59:59.999999991,1969-12-31 23:59:59.999999992,1969-12-31 23:59:59.999999988,Private,Public,Other Financials,Software,,-8.941,0.0,2.58,-9.107,-12.781,2.628,5.37,2021-04-21
